16:46:57.887 [main] INFO  com.be
21:24:35.884 [main] INFO  com.ben.client.AppUI - the welcome page
04:15:55.852 [main] INFO  com.ben.client.AppUI - the welcome page of customer
04:15:57.430 [main] INFO  com.ben.client.AppUI - the login page of customer
04:16:00.192 [main] INFO  com.ben.client.AppUI - the welcome page of customer
04:16:02.783 [main] INFO  com.ben.client.AppUI - the login page of customer
04:16:10.793 [main] INFO  com.ben.client.AppUI - the welcome page of customer
04:16:23.510 [main] INFO  com.ben.client.AppUI - the login page of customer
04:17:00.348 [main] INFO  c.b.repository.CoffeeRepositoryImpl - sql query, select * from coffees_table
04:17:15.754 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:30:27.922 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:30:30.849 [main] INFO  com.ben.client.AppUI - the login page of customer
06:30:32.493 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:30:33.186 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:30:33.213 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:30:33.213 [main] INFO  com.ben.util.ResourceCloser - set closed
06:30:33.213 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:30:33.213 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:30:33.424 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:30:33.440 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:30:33.440 [main] INFO  com.ben.util.ResourceCloser - set closed
06:30:33.440 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:30:33.440 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:30:47.666 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:30:49.370 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:30:52.189 [main] INFO  com.ben.client.AppUI - the login page of customer
06:30:54.173 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:30:54.894 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:30:54.924 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:30:54.924 [main] INFO  com.ben.util.ResourceCloser - set closed
06:30:54.924 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:30:54.924 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:30:55.171 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:30:55.187 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:30:55.188 [main] INFO  com.ben.util.ResourceCloser - set closed
06:30:55.188 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:30:55.188 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
06:30:55.423 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:30:55.438 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:30:55.438 [main] INFO  com.ben.util.ResourceCloser - set closed
06:30:55.438 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:31:10.531 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from profiles_table where profile_to_customers_id = customerID
06:31:10.705 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:31:10.718 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:31:10.719 [main] INFO  com.ben.util.ResourceCloser - set closed
06:31:10.719 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:31:15.177 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, insert into profile_table_accounts_table values(?, ?);
06:31:15.395 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:31:15.427 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:31:15.427 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:11.421 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:32:12.961 [main] INFO  com.ben.client.AppUI - the login page of customer
06:32:14.355 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:32:15.154 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:15.193 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:15.194 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:15.194 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:15.194 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:32:15.443 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:15.458 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:15.458 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:15.458 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:15.459 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
06:32:15.685 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:15.702 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:15.702 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:15.702 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:24.475 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
06:32:24.679 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:24.694 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:24.694 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:24.694 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:27.211 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:32:29.184 [main] INFO  com.ben.client.AppUI - the login page of customer
06:32:30.930 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:32:31.112 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:31.124 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:31.124 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:31.124 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:31.124 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
06:32:31.334 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:31.349 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:31.349 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:31.349 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:32:31.349 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
06:32:31.550 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
06:32:31.565 [main] INFO  com.ben.util.ResourceCloser - connection closed
06:32:31.565 [main] INFO  com.ben.util.ResourceCloser - set closed
06:32:31.565 [main] INFO  com.ben.util.ResourceCloser - statement closed
06:33:27.135 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:33:42.438 [main] INFO  com.ben.client.AppUI - the welcome page of customer
06:43:18.554 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:06:24.359 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:20:44.906 [main] INFO  com.ben.client.AppUI - the login page of customer
07:20:46.199 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:20:46.931 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:20:46.959 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:20:46.960 [main] INFO  com.ben.util.ResourceCloser - set closed
07:20:46.960 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:20:46.960 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:20:47.158 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:20:47.172 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:20:47.172 [main] INFO  com.ben.util.ResourceCloser - set closed
07:20:47.172 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:20:47.173 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:20:47.369 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:20:47.383 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:20:47.383 [main] INFO  com.ben.util.ResourceCloser - set closed
07:20:47.383 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:21:11.957 [main] INFO  c.b.repository.ProfileRepositoryImpl - sql query, insert into profiles_table (profile_to_customers_id, profile_username, profile_isMainProfile) values(?, ?, ?)
07:21:12.132 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:21:12.157 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:21:12.157 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:21:12.158 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:21:12.371 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:21:12.385 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:21:12.385 [main] INFO  com.ben.util.ResourceCloser - set closed
07:21:12.385 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:21:26.043 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:21:26.246 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:21:26.260 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:21:26.260 [main] INFO  com.ben.util.ResourceCloser - set closed
07:21:26.260 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:22:15.215 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:22:17.859 [main] INFO  com.ben.client.AppUI - the login page of customer
07:22:19.594 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:22:20.343 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:22:20.373 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:22:20.373 [main] INFO  com.ben.util.ResourceCloser - set closed
07:22:20.374 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:22:20.374 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:22:20.592 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:22:20.609 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:22:20.609 [main] INFO  com.ben.util.ResourceCloser - set closed
07:22:20.609 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:22:20.609 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:22:20.810 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:22:20.826 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:22:20.826 [main] INFO  com.ben.util.ResourceCloser - set closed
07:22:20.826 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:23:15.584 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:23:18.886 [main] INFO  com.ben.client.AppUI - the login page of customer
07:23:20.224 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:23:20.951 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:23:20.978 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:23:20.979 [main] INFO  com.ben.util.ResourceCloser - set closed
07:23:20.979 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:23:20.979 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:23:21.165 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:23:21.178 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:23:21.178 [main] INFO  com.ben.util.ResourceCloser - set closed
07:23:21.178 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:23:21.178 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:23:21.391 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:23:21.409 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:23:21.409 [main] INFO  com.ben.util.ResourceCloser - set closed
07:23:21.409 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:36:30.363 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:36:31.752 [main] INFO  com.ben.client.AppUI - the login page of customer
07:36:33.094 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:36:33.840 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:36:33.870 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:36:33.871 [main] INFO  com.ben.util.ResourceCloser - set closed
07:36:33.871 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:36:33.871 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:36:34.083 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:36:34.098 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:36:34.099 [main] INFO  com.ben.util.ResourceCloser - set closed
07:36:34.099 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:36:34.099 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:36:34.308 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:36:34.325 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:36:34.325 [main] INFO  com.ben.util.ResourceCloser - set closed
07:36:34.325 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:36:45.158 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, insert into profile_table_accounts_table values(?, ?);
07:36:45.360 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:36:45.392 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:36:45.393 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:39:02.894 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:39:05.106 [main] INFO  com.ben.client.AppUI - the login page of customer
07:39:06.736 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:39:07.467 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:39:07.496 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:39:07.496 [main] INFO  com.ben.util.ResourceCloser - set closed
07:39:07.496 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:39:07.496 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:39:07.699 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:39:07.713 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:39:07.713 [main] INFO  com.ben.util.ResourceCloser - set closed
07:39:07.713 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:39:07.714 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:39:07.896 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:39:07.909 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:39:07.909 [main] INFO  com.ben.util.ResourceCloser - set closed
07:39:07.909 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:39:17.414 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, insert into profile_table_accounts_table values(?, ?);
07:39:17.626 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:39:17.649 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:39:17.649 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:41:35.635 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:41:36.808 [main] INFO  com.ben.client.AppUI - the login page of customer
07:41:37.847 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:41:38.571 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:41:38.600 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:41:38.601 [main] INFO  com.ben.util.ResourceCloser - set closed
07:41:38.601 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:41:38.601 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:41:38.808 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:41:38.823 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:41:38.823 [main] INFO  com.ben.util.ResourceCloser - set closed
07:41:38.823 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:41:38.824 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:41:39.042 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:41:39.059 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:41:39.059 [main] INFO  com.ben.util.ResourceCloser - set closed
07:41:39.059 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:41:57.263 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, insert into profile_table_accounts_table values(?, ?);
07:41:57.449 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:41:57.468 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:41:57.468 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:42:34.171 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:42:35.412 [main] INFO  com.ben.client.AppUI - the login page of customer
07:42:36.328 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:42:37.073 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:42:37.101 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:42:37.101 [main] INFO  com.ben.util.ResourceCloser - set closed
07:42:37.101 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:42:37.101 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:42:37.282 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:42:37.294 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:42:37.294 [main] INFO  com.ben.util.ResourceCloser - set closed
07:42:37.294 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:42:37.294 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:42:37.489 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:42:37.507 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:42:37.507 [main] INFO  com.ben.util.ResourceCloser - set closed
07:42:37.507 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:42:49.740 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, insert into profile_table_accounts_table values(?, ?);
07:42:49.955 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:42:49.984 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:42:49.985 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:44:52.860 [main] INFO  com.ben.client.AppUI - the welcome page of customer
07:45:11.693 [main] INFO  com.ben.client.AppUI - the login page of customer
07:45:12.809 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:45:13.531 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:13.560 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:13.560 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:13.560 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:13.560 [main] INFO  c.b.r.CustomerRepositoryImpl - sql query, select * from customers_table
07:45:13.759 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:13.772 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:13.773 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:13.773 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:13.773 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:45:13.998 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:14.015 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:14.015 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:14.016 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:41.453 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:45:41.662 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:41.676 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:45:46.897 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:45:47.105 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - set closed
07:45:47.120 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:46:02.562 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, update accounts_table set account_funds = account_funds + ? where account_username = ? 
07:46:02.759 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:46:02.786 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:46:02.786 [main] INFO  com.ben.util.ResourceCloser - statement closed
07:46:29.843 [main] INFO  c.b.repository.WalletRepositoryImpl - sql query, select * from accounts_table where account_to_customer_id = customer.getCustomerID()
07:46:30.055 [main] INFO  com.ben.util.ConnectionFactory - connection to db successful
07:46:30.071 [main] INFO  com.ben.util.ResourceCloser - connection closed
07:46:30.071 [main] INFO  com.ben.util.ResourceCloser - set closed
